idx_epi : 0
time,action,p_cur,p_new,state_cur,state_new,reward,done,result_step
220528_185639,R,"(9, 4)","(8, 6)",77,78,-0.01,False,ID_GENERAL_MOVE
220528_185639,D,"(9, 4)","(9, 6)",78,87,-100,True,ID_OBSTACLE

idx_epi : 13
time,action,p_cur,p_new,state_cur,state_new,reward,done,result_step
220528_185639,U,"(9, 4)","(8, 4)",85,76,-0.01,False,ID_GENERAL_MOVE
220528_185639,L,"(9, 4)","(8, 3)",76,75,-0.01,False,ID_GENERAL_MOVE
220528_185639,L,"(9, 4)","(8, 2)",75,74,-0.01,False,ID_GENERAL_MOVE
220528_185639,U,"(9, 4)","(7, 2)",74,65,-0.01,False,ID_GENERAL_MOVE
220528_185639,U,"(9, 4)","(6, 2)",65,56,-100,True,ID_OBSTACLE

idx_epi : 14
time,action,p_cur,p_new,state_cur,state_new,reward,done,result_step
220528_185639,U,"(9, 4)","(8, 4)",85,76,-0.01,False,ID_GENERAL_MOVE
220528_185639,U,"(9, 4)","(7, 4)",76,67,-0.01,False,ID_GENERAL_MOVE
220528_185639,U,"(9, 4)","(6, 4)",67,58,-100,True,ID_OBSTACLE

idx_epi : 15
time,action,p_cur,p_new,state_cur,state_new,reward,done,result_step
220528_185639,U,"(9, 4)","(8, 4)",85,76,-0.01,False,ID_GENERAL_MOVE
220528_185639,D,"(9, 4)","(9, 4)",76,85,-100,True,ID_RETURN

idx_epi : 16
time,action,p_cur,p_new,state_cur,state_new,reward,done,result_step
220528_185639,U,"(9, 4)","(8, 4)",85,76,-0.01,False,ID_GENERAL_MOVE
220528_185639,L,"(9, 4)","(8, 3)",76,75,-0.01,False,ID_GENERAL_MOVE
220528_185639,R,"(9, 4)","(8, 4)",75,76,-0.01,False,ID_GENERAL_MOVE
220528_185639,R,"(9, 4)","(8, 5)",76,77,-0.01,False,ID_GENERAL_MOVE
220528_185639,R,"(9, 4)","(8, 6)",77,78,-0.01,False,ID_GENERAL_MOVE
